daytime,credit,contents,require
【家事】【】▼11/1水▼13：30～16：00,3,ひまわり支援弁護士登録研修▼ ②高齢者虐待、障害者刑事弁護入門、精神保健入門▼ （2015/6/30ライブ実施分DVD研修）▼◇松尾洋輔（当会会員）▼ 高橋昌子（当会会員）▼ 本田建二（当会会員）,◆ひまわり▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【刑事】【】▼11/1水▼18：10～20：40,3,裁判員裁判弁護実践研修 裁判員裁判経験交流会▼◇最近裁判員裁判を経験した弁護人各位,◆刑事弁護委員会▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【家事】【】▼11/2木▼15：00～17：00,2,成年後見研修⑤市町村長申立、高齢者・障がい者虐待編▼ （2017/3/24ライブ実施分DVD研修）▼◇泉田健司（当会会員）▼ 斉藤亮仁（当会会員）,◆ひまわり▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【家事】【】▼11/7火▼10：00～12：00,2,成年後見研修②財産管理の実務（2017/2/3ライブ実施分DVD研修）▼◇井上雅人（当会会員）,◆ひまわり▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【憲法・人権・行政法】【】▼11/13月▼16：00～18：00,2,憲法問題特別委員会連続学習会▼ 第82回「表現の自由と選挙―ヘイトスピーチを素材として―」▼◇毛利 透（京都大学大学院法学研究科教授）,◆憲法問題特別委員会▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【その他】【】▼11/14火▼18：00～20：00,2,外務省領事局ハーグ条約室による講演会▼◇未定,◆国際委員会▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【家事】【】▼11/16木▼16：00～18：00,2,成年後見研修⑥成年後見アドバンス研修▼ 「成年後見監督人の職務と実務上の留意点」（2017/3/29ライブ実施分DVD研修）▼◇那須良太（当会会員）,◆ひまわり▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【刑事】【】▼11/21火▼13：30～16：00,3,障害者刑事弁護活動に関する会員向け連続研修③医療観察法について▼ （2015/11/27ライブ実施分DVD研修）▼◇池田直樹（38期）（当会会員）▼ 東 奈央（当会会員）▼ 小坂梨緑菜（当会会員）▼ 森口秀樹（八戸ノ里クリニック院長）,◆ひまわり▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【その他】【】▼11/27月▼13：00～16：00,3,【日弁連ライブ実務研修】会計監査の課題と監査法人のガバナンス▼◇未定,◆日弁連▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【民事・商事】【】▼11/27月▼17：00～19：00,2,【日弁連ライブ実務研修】よくわかる最新重要判例解説2017（商事）▼◇未定,◆日弁連▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【社会法・経済法】【】▼11/28火▼13：00～14：30,2,【日弁連ライブ実務研修】2016改正特定商取引法の活用▼◇未定,◆日弁連▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【社会法・経済法】【】▼11/28火▼15：00～16：30,2,【日弁連ライブ実務研修】2016改正割賦販売法の活用▼◇未定,◆日弁連▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【民事・商事】【】▼11/28火▼17：30～19：30,2,【日弁連ライブ実務研修】よくわかる最新重要判例解説2017（民事）▼◇未定,◆日弁連▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【民事・商事】【】▼11/28火▼17：30～20：00,3,倒産手続実務・基礎研修▼ 第3回「破産管財申立・管財実務①」▼◇当会会員および裁判所書記官の予定,◆司法委員会▼□当会会員／無料▼保育あり▼■大阪弁護士会館
