daytime,credit,contents,require
【家事】【】▼10/2月▼16：00～18：00,2,成年後見人等候補者名簿登録 更新研修（家裁からみた専門職後見人・後見監督人の実務の留意点に関する研修）▼ （2017/6/20ライブ実施分DVD研修）▼◇阿多麻子（大阪家裁判事）▼ 河野文彦（大阪家裁判事補）▼ 萩原邦彦（大阪家裁書記官）▼ 井上雅人（当会会員）,◆ひまわり▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【家事】【】▼10/5木▼16：00～18：00,2,成年後見研修①成年後見総論（2017/1/13ライブ実施分DVD研修）▼◇井上計雄（当会会員）,◆ひまわり▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【刑事】【】▼10/13金▼10：00～12：30,3,障害者刑事弁護入門（2016/2/24ライブ実施分DVD研修）▼◇池田直樹（38期）（当会会員）▼ 高橋昌子（当会会員）▼ 荒木晋之介（当会会員）▼ 辻川圭乃（当会会員）,◆ひまわり▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【家事】【】▼10/23月▼15：00～17：00,2,成年後見研修⑥成年後見アドバンス研修▼ 「成年後見監督人の職務と実務上の留意点」（2017/3/29ライブ実施分DVD研修）▼◇那須良太（当会会員）,◆ひまわり▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【家事】【】▼10/26木▼10：00～12：30,3,ひまわり支援弁護士登録研修▼ ①法律相談基礎研修（2016/12/1ライブ実施分DVD研修）▼◇中西 基（当会会員）▼ 徳村初美（当会会員）▼ 小谷真由香（当会会員）▼ 近藤厚志（当会会員）,◆ひまわり▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【家事】【】▼10/30月▼13：00～15：00,2,成年後見研修⑤市町村長申立、高齢者・障がい者虐待編▼ （2017/3/24ライブ実施分DVD研修）▼◇泉田健司（当会会員）▼ 斉藤亮仁（当会会員）,◆ひまわり▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【家事】【】▼10/31火▼13：00～15：00,2,成年後見研修③身上監護の実務（2017/2/24ライブ実施分DVD研修）▼◇梅津和弘（社会福祉士）,◆ひまわり▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【家事】【】▼11/1水▼13：30～16：00,3,ひまわり支援弁護士登録研修▼ ②高齢者虐待、障害者刑事弁護入門、精神保健入門▼ （2015/6/30ライブ実施分DVD研修）▼◇松尾洋輔（当会会員）▼ 高橋昌子（当会会員）▼ 本田建二（当会会員）,◆ひまわり▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【刑事】【】▼11/1水▼18：10～20：40,3,裁判員裁判弁護実践研修 裁判員裁判経験交流会▼◇最近裁判員裁判を経験した弁護人各位,◆刑事弁護委員会▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【家事】【】▼11/2木▼15：00～17：00,2,成年後見研修⑤市町村長申立、高齢者・障がい者虐待編▼ （2017/3/24ライブ実施分DVD研修）▼◇泉田健司（当会会員）▼ 斉藤亮仁（当会会員）,◆ひまわり▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【家事】【】▼11/7火▼10：00～12：00,2,成年後見研修②財産管理の実務（2017/2/3ライブ実施分DVD研修）▼◇井上雅人（当会会員）,◆ひまわり▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【憲法・人権・行政法】【】▼11/13月▼16：00～18：00,2,憲法問題特別委員会連続学習会▼ 第82回「表現の自由と選挙―ヘイトスピーチを素材として―」▼◇毛利 透（京都大学大学院法学研究科教授）,◆憲法問題特別委員会▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【家事】【】▼11/16木▼16：00～18：00,2,成年後見研修⑥成年後見アドバンス研修▼ 「成年後見監督人の職務と実務上の留意点」（2017/3/29ライブ実施分DVD研修）▼◇那須良太（当会会員）,◆ひまわり▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【刑事】【】▼11/21火▼13：30～16：00,3,障害者刑事弁護活動に関する会員向け連続研修③医療観察法について▼ （2015/11/27ライブ実施分DVD研修）▼◇池田直樹（38期）（当会会員）▼ 東 奈央（当会会員）▼ 小坂梨緑菜（当会会員）▼ 森口秀樹（八戸ノ里クリニック院長）,◆ひまわり▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【その他】【】▼11/27月▼13：00～16：00,3,【日弁連ライブ実務研修】会計監査の課題と監査法人のガバナンス▼◇未定,◆日弁連▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【民事・商事】【】▼11/27月▼17：00～19：00,2,【日弁連ライブ実務研修】よくわかる最新重要判例解説2017（商事）▼◇未定,◆日弁連▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【社会法・経済法】【】▼11/28火▼13：00～14：30,2,【日弁連ライブ実務研修】2016改正特定商取引法の活用▼◇未定,◆日弁連▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【社会法・経済法】【】▼11/28火▼15：00～16：30,2,【日弁連ライブ実務研修】2016改正割賦販売法の活用▼◇未定,◆日弁連▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【民事・商事】【】▼11/28火▼17：30～19：30,2,【日弁連ライブ実務研修】よくわかる最新重要判例解説2017（民事）▼◇未定,◆日弁連▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【民事・商事】【】▼11/28火▼17：30～20：00,3,倒産手続実務・基礎研修▼ 第3回「破産管財申立・管財実務①」▼◇当会会員および裁判所書記官の予定,◆司法委員会▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【家事】【】▼11/29水▼10：00～12：00,2,成年後見人等候補者名簿登録 更新研修（家裁からみた専門職後見人・後見監督人の実務の留意点に関する研修）▼ （2017/6/20ライブ実施分DVD研修）▼◇阿多麻子（大阪家裁判事）▼ 河野文彦（大阪家裁判事補）▼ 萩原邦彦（大阪家裁書記官）▼ 井上雅人（当会会員）,◆ひまわり▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【家事】【】▼11/29水▼13：30～17：00,4,【日弁連ライブ実務研修】ハーグ条約実施法及び実務の解説（2017）（2017/10/18日弁連ライブ実施分DVD研修）▼◇未定,◆研修センター▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【民事・商事】【】▼11/29水▼18：00～20：00,2,【日弁連ライブ実務研修】民事信託に関する具体例と課税上の諸問題（2017/10/18日弁連ライブ実施分DVD研修）▼◇未定,◆研修センター▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【社会法・経済法】【】▼11/30木▼10：00～17：00,6,【日弁連ライブ実務研修】知的財産に関する研修会2017▼ （2017/10/19日弁連ライブ実施分DVD研修）▼◇未定,◆研修センター▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【家事】【】▼11/30木▼16：00～18：00,2,成年後見研修⑦成年後見アドバンス研修「後見制度支援信託」～検討事案の実務上の留意点～（2015/9/25ライブ実施分DVD研修）▼◇青木佳史（当会会員）,◆ひまわり▼□当会会員／無料▼保育あり▼■大阪弁護士会館
【刑事】【】▼11/30木▼18：00～20：00,2,【日弁連ライブ実務研修】よくわかる最新重要判例解説2017（刑事）▼ （2017/10/19日弁連ライブ実施分DVD研修）▼◇未定,◆研修センター▼□当会会員／無料▼保育あり▼■大阪弁護士会館
